2020-09-28 14:32:04,521|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/sua-hoc-duong-giup-phu-huynh-tiet-kiem-chi-phi-4166312.html
2020-09-28 14:32:04,617|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/tre-mam-non-hoc-giao-thong-qua-phim-hoat-hinh-4166257.html
2020-09-28 14:32:04,664|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/nhieu-suat-hoc-chuong-trinh-du-hoc-tai-cho-lien-ket-quoc-te-4166458.html
2020-09-28 14:32:04,695|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/no-luc-cua-cac-truong-tai-hoang-su-phi-trong-nam-hoc-moi-4166818.html
2020-09-28 14:32:04,774|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/dai-hoc-australia-lo-pha-san-4166686.html
2020-09-28 14:32:04,805|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/tai-sao-danh-con-la-sai-lam-4166480.html
2020-09-28 14:32:04,883|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/viet-nam-gianh-huy-chuong-vang-olympic-tin-hoc-quoc-te-4166417.html
2020-09-28 14:32:05,012|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/tim-diem-bat-hop-ly-trong-tranh-4166872.html
2020-09-28 14:32:05,093|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/hoc-gi-de-tro-thanh-giao-vien-tieng-anh-4166875.html
2020-09-28 14:32:05,156|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/trung-quoc-keu-goi-bao-ve-hoc-sinh-truoc-cac-vu-tan-cong-4166789.html
2020-09-28 14:32:05,202|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/sua-hoc-duong-giup-phu-huynh-tiet-kiem-chi-phi-4166312.html
2020-09-28 14:32:05,265|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/giu-on-dinh-ky-thi-tot-nghiep-thpt-2021-4166372.html
2020-09-28 14:32:05,389|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/cuoc-hen-ho-cuoi-cung-cua-nguoi-dan-ba-si-tinh-4167795.html
2020-09-28 14:32:05,436|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/giet-vo-vi-nghi-ngoai-tinh-4167892.html
2020-09-28 14:32:05,561|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/hoan-xet-xu-nhom-ban-tre-so-sinh-gia-50-170-trieu-dong-4167684.html
